cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
14320,2018,2020,0.6654,25406,60376,USIM5,2021-02-12,2021-02-12,2021-05-18,0.4644115574348133,0.02973522616670432,0.434676331268109
14320,2020,2021,0.8427,60376,66554,USIM5,2022-02-11,2022-02-11,2022-05-17,-0.30392788151963934,-0.0421142998273788,-0.26181358169226054
14320,2021,2022,0.9619,66554,71454,USIM5,2023-02-10,2023-02-10,2023-05-17,0.05177111716621252,0.01278406843484814,0.03898704873136438
14320,2022,2023,0.9667,71454,68472,USIM5,2025-01-16,2025-01-16,2025-04-17,0.17148760330578505,0.06941848228560032,0.10206912102018473
14320,2023,2024,0.947,68472,67201,USIM5,2025-02-14,2025-02-14,2025-05-21,-0.10869565217391308,0.07536099094522863,-0.18405664311914172
14443,2015,2016,0.9386,52013,54477,SBSP3,2017-03-27,2017-03-27,2017-06-28,-0.03196202539246906,-0.03561619253724124,0.00365416714477218
14443,2016,2017,0.9613,54477,54976,SBSP3,2018-03-27,2018-03-27,2018-06-27,-0.3636620514797386,-0.15749143429539292,-0.2061706171843457
14443,2017,2019,0.8843,54976,79418,SBSP3,2020-03-27,2020-03-27,2020-06-30,0.4399800352169796,0.29453083654665124,0.14544919867032835
14443,2019,2020,0.8119,79418,91104,SBSP3,2021-03-25,2021-03-25,2021-06-25,-0.0751346060147271,0.1187316208629634,-0.1938662268776905
14443,2020,2021,0.8864,91104,100364,SBSP3,2022-03-24,2022-03-24,2022-06-24,-0.0938244854220821,-0.17118985163823386,0.07736536621615175
14443,2021,2022,0.9413,100364,102642,SBSP3,2023-03-23,2023-03-23,2023-06-26,0.13876789014436408,0.20746828687766738,-0.0687003967333033
14443,2022,2023,0.8604,102642,97234,SBSP3,2024-03-21,2024-03-21,2024-06-21,-0.0494030984963898,-0.05319535010417176,0.00379225160778196
