cd_cvm,name,group,year_prev,year_curr,cosine_similarity_cmn,diagnostic_prev,diagnostic_curr
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2020,2021,0.2315,regex_only,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2021,2022,0.4388,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2022,2023,0.9131,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2023,2024,0.3735,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2015,2016,0.078,regex_only,font_heading
017329,ENGIE BRASIL,stayed,2016,2017,0.2398,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2017,2018,0.9762,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2018,2019,0.2496,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2019,2020,0.9141,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2020,2021,0.3368,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2021,2022,0.1281,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2022,2023,0.2423,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2023,2024,0.6301,font_heading,font_heading
017450,RUMO S.A.,stayed,2015,2016,0.436,font_heading,font_heading
017450,RUMO S.A.,stayed,2016,2017,0.2975,font_heading,font_heading
017450,RUMO S.A.,stayed,2017,2018,0.274,font_heading,font_heading
017450,RUMO S.A.,stayed,2018,2019,0.2924,font_heading,font_heading
017450,RUMO S.A.,stayed,2019,2020,0.192,font_heading,font_heading
017450,RUMO S.A.,stayed,2020,2021,0.2595,font_heading,regex_only
017450,RUMO S.A.,stayed,2021,2022,0.9941,regex_only,regex_only
017450,RUMO S.A.,stayed,2022,2023,0.9686,regex_only,regex_only
017450,RUMO S.A.,stayed,2023,2024,0.9959,regex_only,regex_only
017671,TELEFONICA BRASIL,stayed,2015,2016,0.8367,font_heading,font_heading
017671,TELEFONICA BRASIL,stayed,2016,2017,0.7866,font_heading,font_heading
017671,TELEFONICA BRASIL,stayed,2017,2018,0.9433,font_heading,font_heading
017671,TELEFONICA BRASIL,stayed,2018,2019,0.8374,font_heading,font_heading
017671,TELEFONICA BRASIL,stayed,2019,2020,0.909,font_heading,font_heading
017671,TELEFONICA BRASIL,stayed,2020,2021,0.8789,font_heading,font_heading
017671,TELEFONICA BRASIL,stayed,2021,2022,0.3408,font_heading,regex_only
017671,TELEFONICA BRASIL,stayed,2022,2023,0.4344,regex_only,font_heading
017671,TELEFONICA BRASIL,stayed,2023,2024,0.9195,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2015,2016,0.8611,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2016,2017,0.9348,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2017,2018,0.7855,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2018,2019,0.8745,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2019,2020,0.9235,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2020,2021,0.9408,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2021,2022,0.9712,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2022,2023,0.8925,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2023,2024,0.9218,font_heading,font_heading
017914,Massa Falida da MMX Mineração e Metálicos S.A.,dropped_or_delisted,2015,2016,0.1225,font_heading,font_heading
017914,Massa Falida da MMX Mineração e Metálicos S.A.,dropped_or_delisted,2016,2018,0.5719,font_heading,font_heading
017914,Massa Falida da MMX Mineração e Metálicos S.A.,dropped_or_delisted,2018,2019,0.112,font_heading,regex_only
017914,Massa Falida da MMX Mineração e Metálicos S.A.,dropped_or_delisted,2019,2020,0.2687,regex_only,regex_only
017973,COGNA ON,stayed,2015,2016,0.9092,font_heading,font_heading
017973,COGNA ON,stayed,2016,2017,0.9827,font_heading,font_heading
017973,COGNA ON,stayed,2017,2018,0.7003,font_heading,font_heading
017973,COGNA ON,stayed,2018,2019,0.2096,font_heading,regex_only
017973,COGNA ON,stayed,2019,2020,0.3044,regex_only,regex_only
017973,COGNA ON,stayed,2020,2021,0.2575,regex_only,regex_only
017973,COGNA ON,stayed,2021,2022,0.3641,regex_only,regex_only
017973,COGNA ON,stayed,2022,2023,0.2967,regex_only,regex_only
017973,COGNA ON,stayed,2023,2024,0.2309,regex_only,font_heading
018376,ISA ENERGIA,stayed,2015,2016,0.2861,regex_only,regex_only
018376,ISA ENERGIA,stayed,2016,2017,0.2991,regex_only,regex_only
018376,ISA ENERGIA,stayed,2017,2018,0.989,regex_only,regex_only
