cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct,company_name,__ctrl_year__,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
5258,2021,2022,0.9492,251661,242447,stayed,True,True,True,2023-03-07,5258.0,RADL3,2022-12-31,0.129999993,2023-03-31,0.119999993,-0.010000000000000009,-0.07692308106508905,RAIA DROGASIL S.A.,2022.0,17185306.0,29067380.0,1014968.0,5402941.0,11782365.0,16.659565274333904,17.18512714119437,0.6856069365305454,0.0590602227274859,0.1878547257873073,-0.0141313387361072
5258,2022,2023,0.9479,242447,249418,stayed,True,True,True,2024-03-05,5258.0,RADL3,2023-12-31,0.179999997,2024-03-31,0.174999997,-0.0050000000000000044,-0.027777778240740774,RAIA DROGASIL S.A.,2023.0,20094412.0,33973790.0,1087143.0,6028301.0,14066111.0,16.815952324427126,17.341099902944904,0.7000011246907847,0.0541017572447504,0.1803398669044561,0.3961643834822845
5258,2023,2024,0.9618,249418,249898,stayed,True,True,True,2025-03-20,5258.0,RADL3,2024-12-31,0.164999997,2025-03-31,0.144999997,-0.020000000000000018,-0.1212121234159781,RAIA DROGASIL S.A.,2024.0,22163756.0,38871522.0,1211373.0,6446887.0,15716869.0,16.913968900065612,17.47577245822339,0.7091247981614669,0.0546555827450906,0.1879004549017223,-0.2405937175581156
5410,2015,2016,0.9873,89851,91393,stayed,True,True,True,2017-02-22,5410.0,WEGE3,2016-12-31,0.068999997,2017-03-31,0.074499997,0.005500000000000005,0.07971014839319493,WEG S.A.,2016.0,13509331.0,9367008.0,1127832.0,6070832.0,7438499.0,16.418891189835374,16.052704286253036,0.5506193459913004,0.0834854072344515,0.1857788191140852,-0.0025740025096194
5410,2016,2017,0.9833,91393,94422,stayed,True,True,True,2018-02-28,5410.0,WEGE3,2017-12-31,0.072499997,2018-03-31,0.078499997,0.006000000000000005,0.08275862411415004,WEG S.A.,2017.0,13985987.0,9523830.0,1140942.0,6843307.0,7142680.0,16.45356645774459,16.069307636786576,0.5107026054006771,0.0815775104038063,0.1667237784305161,0.6446111870241156
5410,2017,2018,0.9814,94422,100991,stayed,True,True,True,2019-04-10,5410.0,WEGE3,2018-12-31,0.1025,2019-06-30,0.088,-0.014499999999999999,-0.14146341463414633,WEG S.A.,2018.0,15399850.0,11970090.0,1344148.0,7853257.0,7546593.0,16.54986832707668,16.29792159630288,0.4900432796423342,0.087283187823258,0.1711580303560675,-0.0288756388663832
5410,2018,2019,0.9844,100991,96003,stayed,True,True,True,2020-02-19,5410.0,WEGE3,2019-12-31,0.0965,2020-03-31,0.1,0.003500000000000003,0.0362694300518135,WEG S.A.,2019.0,15687641.0,13347434.0,1632455.0,8929990.0,6757651.0,16.568383762863693,16.406834714598045,0.4307627258935871,0.1040599411982974,0.1828059157960983,1.0484633569739947
5410,2019,2020,0.9854,96003,96144,stayed,True,True,True,2021-02-24,5410.0,WEGE3,2020-12-31,0.13,2021-06-30,0.22,0.09,0.6923076923076923,WEG S.A.,2020.0,19927896.0,17469557.0,2395957.0,11930298.0,7997598.0,16.8076311171229,16.675970324032573,0.4013267632468575,0.1202313079112817,0.2008296020769975,1.230270906949352
5410,2020,2021,0.9819,96144,98694,stayed,True,True,True,2022-02-16,5410.0,WEGE3,2021-12-31,0.195,2022-03-31,0.19,-0.0050000000000000044,-0.025641025641025664,WEG S.A.,2021.0,23932787.0,23563338.0,3657480.0,14010672.0,9922115.0,16.990759917791745,16.975202587526823,0.4145825139378878,0.1528229871431187,0.2610495770652543,-0.1001364256480218
5410,2021,2022,0.9764,98694,99119,stayed,True,True,True,2023-02-15,5410.0,WEGE3,2022-12-31,0.28,2023-03-31,0.31,0.02999999999999997,0.10714285714285703,WEG S.A.,2022.0,28134660.0,29904722.0,4272872.0,15248355.0,12886305.0,17.152512826184353,17.213526952313256,0.4580224179001985,0.1518721747481576,0.2802185547227881,0.0817415730337076
