cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cosine_similarity_expanding
8451,MARCOPOLO,2013,2014,0.9307,2816,3158,font_heading,font_heading,0.941
8451,MARCOPOLO,2014,2015,0.9321,3158,3386,font_heading,font_heading,0.9398
8451,MARCOPOLO,2015,2016,0.9311,3386,3414,font_heading,font_heading,0.9434
8451,MARCOPOLO,2016,2017,0.921,3414,3917,font_heading,font_heading,0.9224
8451,MARCOPOLO,2017,2018,0.9538,3917,3504,font_heading,font_heading,0.9546
8451,MARCOPOLO,2018,2019,0.8853,3504,4438,font_heading,font_heading,0.8835
8451,MARCOPOLO,2019,2020,0.8871,4438,3435,font_heading,font_heading,0.8864
8451,MARCOPOLO,2020,2021,0.9745,3435,3292,font_heading,font_heading,0.9755
8451,MARCOPOLO,2021,2022,0.9983,3292,3267,font_heading,font_heading,0.9984
8451,MARCOPOLO,2022,2023,0.9902,3267,3248,font_heading,font_heading,0.9901
8451,MARCOPOLO,2023,2024,0.9732,3248,3022,font_heading,font_heading,0.9731
8575,Mahle Metal Leve SA,2010,2011,0.8339,4674,4073,font_heading,font_heading,0.7975
8575,Mahle Metal Leve SA,2011,2012,0.9479,4073,4020,font_heading,font_heading,0.9536
8575,Mahle Metal Leve SA,2012,2013,0.9498,4020,4510,font_heading,font_heading,0.9498
8575,Mahle Metal Leve SA,2013,2014,0.862,4510,5874,font_heading,font_heading,0.8608
8575,Mahle Metal Leve SA,2014,2015,0.9023,5874,4020,font_heading,font_heading,0.9144
8575,Mahle Metal Leve SA,2015,2016,0.8895,4020,4807,font_heading,font_heading,0.8918
8575,Mahle Metal Leve SA,2016,2017,0.024,4807,436,font_heading,font_heading,0.0237
8575,Mahle Metal Leve SA,2017,2018,0.0658,436,9328,font_heading,regex_only,0.0655
8575,Mahle Metal Leve SA,2018,2019,0.1753,9328,7246,regex_only,font_heading,0.1797
8575,Mahle Metal Leve SA,2019,2020,0.9267,7246,6315,font_heading,font_heading,0.9265
8575,Mahle Metal Leve SA,2020,2021,0.9238,6315,4427,font_heading,font_heading,0.9252
8575,Mahle Metal Leve SA,2021,2022,0.9267,4427,5146,font_heading,font_heading,0.9499
8575,Mahle Metal Leve SA,2022,2023,0.7125,5146,10591,font_heading,font_heading,0.729
8575,Mahle Metal Leve SA,2023,2024,0.8387,10591,7633,font_heading,font_heading,0.8581
8575,Mahle Metal Leve SA,2024,2025,0.8174,7633,11890,font_heading,font_heading,0.8174
8656,GERDAU MET,2010,2011,0.4666,4588,14402,font_heading,font_heading,0.4758
8656,GERDAU MET,2011,2012,0.9813,14402,12649,font_heading,font_heading,0.9821
8656,GERDAU MET,2012,2013,0.8345,12649,10614,font_heading,font_heading,0.8374
8656,GERDAU MET,2013,2014,0.9117,10614,11408,font_heading,font_heading,0.913
8656,GERDAU MET,2014,2015,0.7683,11408,8286,font_heading,font_heading,0.773
8656,GERDAU MET,2015,2016,0.879,8286,6643,font_heading,font_heading,0.8758
8656,GERDAU MET,2016,2017,0.904,6643,6558,font_heading,font_heading,0.9049
8656,GERDAU MET,2017,2018,0.9218,6558,7916,font_heading,font_heading,0.9214
8656,GERDAU MET,2018,2019,0.841,7916,6858,font_heading,font_heading,0.8412
8656,GERDAU MET,2019,2021,0.1411,6858,15491,font_heading,regex_only,0.134
8656,GERDAU MET,2021,2022,0.1122,15491,2538,regex_only,font_heading,0.1039
8656,GERDAU MET,2022,2023,0.8189,2538,1968,font_heading,font_heading,0.8177
8656,GERDAU MET,2023,2024,0.708,1968,3969,font_heading,font_heading,0.7065
8672,IGUATEMI S.A,2010,2011,0.8929,15523,22667,font_heading,font_heading,0.8995
8672,IGUATEMI S.A,2011,2012,0.2872,22667,51609,font_heading,font_heading,0.287
8672,IGUATEMI S.A,2012,2013,0.0557,51609,455,font_heading,font_heading,0.0496
8672,IGUATEMI S.A,2013,2014,1.0,455,455,font_heading,font_heading,1.0
8672,IGUATEMI S.A,2014,2015,1.0,455,455,font_heading,font_heading,1.0
8672,IGUATEMI S.A,2015,2016,1.0,455,455,font_heading,font_heading,1.0
8672,IGUATEMI S.A,2016,2017,0.0212,455,1727,font_heading,font_heading,0.0244
8672,IGUATEMI S.A,2017,2018,0.5595,1727,1879,font_heading,font_heading,0.5882
8672,IGUATEMI S.A,2018,2019,0.9678,1879,1845,font_heading,font_heading,0.9702
8672,IGUATEMI S.A,2019,2020,0.9633,1845,1923,font_heading,font_heading,0.9633
8672,IGUATEMI S.A,2020,2021,0.0645,1923,10631,font_heading,font_heading,0.0653
8672,IGUATEMI S.A,2021,2022,0.9967,10631,10800,font_heading,font_heading,0.9968
8672,IGUATEMI S.A,2022,2023,0.7454,10800,23133,font_heading,font_heading,0.7443
8672,IGUATEMI S.A,2023,2024,0.9101,23133,19519,font_heading,font_heading,0.9095
9393,Paranapanema SA,2010,2011,0.2707,2162,14570,font_heading,font_heading,0.2845
9393,Paranapanema SA,2011,2012,0.0494,14570,5996,font_heading,font_heading,0.0528
9393,Paranapanema SA,2012,2013,0.6927,5996,5188,font_heading,font_heading,0.6759
9393,Paranapanema SA,2013,2014,0.0496,5188,5979,font_heading,regex_only,0.053
9393,Paranapanema SA,2014,2015,0.0396,5979,5397,regex_only,font_heading,0.0402
9393,Paranapanema SA,2015,2016,0.7715,5397,3907,font_heading,font_heading,0.7783
9393,Paranapanema SA,2016,2017,0.3913,3907,9465,font_heading,font_heading,0.3933
9393,Paranapanema SA,2017,2018,0.9369,9465,9858,font_heading,font_heading,0.9391
9393,Paranapanema SA,2018,2019,0.9179,9858,8355,font_heading,font_heading,0.9215
9393,Paranapanema SA,2019,2020,0.9173,8355,9186,font_heading,font_heading,0.9243
9393,Paranapanema SA,2020,2021,0.8168,9186,13056,font_heading,font_heading,0.8201
9393,Paranapanema SA,2021,2022,0.9281,13056,13811,font_heading,font_heading,0.9342
9393,Paranapanema SA,2022,2023,0.947,13811,13812,font_heading,font_heading,0.9514
9393,Paranapanema SA,2023,2024,0.906,13812,13539,font_heading,font_heading,0.9112
9393,Paranapanema SA,2024,2025,0.8613,13539,18839,font_heading,font_heading,0.8613
9512,PETROBRAS,2010,2011,0.3548,1767,243,font_heading,font_heading,0.386
9512,PETROBRAS,2011,2012,0.955,243,230,font_heading,font_heading,0.9407
9512,PETROBRAS,2012,2013,0.0193,230,7148,font_heading,regex_only,0.0193
9512,PETROBRAS,2013,2014,0.3904,7148,11344,regex_only,regex_only,0.4339
9512,PETROBRAS,2014,2016,0.6467,11344,23145,regex_only,regex_only,0.6557
9512,PETROBRAS,2016,2017,0.3833,23145,11894,regex_only,regex_only,0.3834
9512,PETROBRAS,2017,2018,0.4468,11894,12765,regex_only,regex_only,0.4518
9512,PETROBRAS,2018,2019,0.0338,12765,377,regex_only,font_heading,0.0346
9512,PETROBRAS,2019,2020,0.0513,377,12298,font_heading,regex_only,0.0527
