cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cd_cvm_int
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),2010,2011,0.2662,84055,21759,font_heading,font_heading,12793
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),2011,2012,0.9143,21759,24108,font_heading,font_heading,12793
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),2012,2013,0.9638,24108,28299,font_heading,font_heading,12793
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),2013,2014,0.9128,28299,27396,font_heading,font_heading,12793
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),2014,2015,0.6694,27396,11338,font_heading,font_heading,12793
013471,Plascar Participacoes Industriais SA,2010,2011,0.2886,1276,5634,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2011,2012,0.6121,5634,3616,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2012,2013,0.9033,3616,3297,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2013,2014,0.5121,3297,1635,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2014,2015,0.5272,1635,1557,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2015,2016,0.7192,1557,1615,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2016,2017,0.7822,1615,2005,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2017,2018,0.398,2005,3262,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2018,2019,0.6269,3262,1931,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2019,2020,0.9539,1931,1705,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2020,2021,0.6917,1705,1667,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2021,2022,0.8312,1667,1156,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2022,2023,0.8192,1156,1321,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2023,2024,0.8058,1321,1246,font_heading,font_heading,13471
013471,Plascar Participacoes Industriais SA,2024,2025,0.8328,1246,1074,font_heading,font_heading,13471
013986,SUZANO S.A.,2010,2011,0.813,10836,16425,font_heading,font_heading,13986
013986,SUZANO S.A.,2011,2012,0.7812,16425,19344,font_heading,font_heading,13986
