cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return,extreme_ar,prev_ok,curr_ok,both_ok
8451,2020,2021,0.994,164141,161223,POMO4,2022-02-25,2022-02-25,2023-03-02,0.1413793105221878,-0.0867611957157531,0.228140506237941,False,True,True,True
8451,2021,2022,0.9912,161223,154805,POMO4,2023-02-28,2023-02-28,2024-03-05,1.7246835443487418,0.2207734099620584,1.5039101343866834,True,True,True,True
8451,2022,2023,0.9914,154805,153494,POMO4,2024-02-27,2024-02-27,2025-02-26,0.0648083622551298,-0.0525529129648049,0.1173612752199347,False,True,True,True
8451,2023,2024,0.9847,153494,155281,POMO4,2025-02-25,2025-02-25,2026-03-03,-0.0571428571428571,0.4534497279319254,-0.5105925850747826,False,True,True,True
8656,2015,2016,0.9921,205024,204140,GOAU4,2017-02-22,2017-02-22,2018-03-06,0.2988115450487754,0.2487765264533736,0.0500350185954017,False,True,True,True
8656,2016,2017,0.9872,204140,216159,GOAU4,2018-02-28,2018-02-28,2019-03-11,-0.1015228427400833,0.148476824466317,-0.2499996672064004,False,True,True,True
8656,2017,2018,0.9861,216159,218055,GOAU4,2019-02-21,2019-02-21,2020-02-28,0.121297602176863,0.0746844162423927,0.0466131859344702,False,True,True,True
8656,2018,2019,0.9854,218055,200372,GOAU4,2020-02-19,2020-02-19,2021-03-01,0.1745562129687348,-0.0530629707443339,0.2276191837130687,False,True,True,True
8656,2021,2022,0.9864,209428,214736,GOAU4,2023-03-01,2023-03-01,2024-03-06,-0.2393822394279542,0.2347620584516865,-0.4741442978796407,False,True,True,True
8656,2022,2023,0.9908,214736,211253,GOAU4,2024-02-20,2024-02-20,2025-02-19,-0.0487562189426985,-0.0200691815664739,-0.0286870373762245,False,True,True,True
8656,2023,2024,0.9838,211253,223354,GOAU4,2025-02-24,2025-02-24,2026-03-02,0.3840639417044378,0.509608745932461,-0.1255448042280231,False,True,True,True
8672,2017,2018,0.8209,194357,187960,IGTI11,2019-03-14,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,True,True,True
8672,2018,2019,0.9631,187960,160307,IGTI11,2020-03-12,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,True,True,True
8672,2021,2022,0.916,177847,165828,IGTI11,2023-02-28,2023-02-28,2024-03-05,0.2136575271598553,0.2207734099620584,-0.007115882802203,False,True,True,True
8672,2022,2023,0.979,165828,172585,IGTI11,2024-02-20,2024-02-20,2025-02-19,-0.1849169152109075,-0.0200691815664739,-0.1648477336444336,False,True,True,True
8672,2023,2024,0.9735,172585,168304,IGTI11,2025-02-18,2025-02-18,2026-02-24,0.4908814589665655,0.4898300193780973,0.0010514395884682,False,True,True,True
10456,2015,2016,0.9687,135754,126096,ALPA4,2017-03-22,2017-03-22,2018-04-02,0.3710590137429264,0.3328818315230757,0.0381771822198506,False,True,True,True
10456,2016,2017,0.9638,126096,144787,ALPA4,2018-02-09,2018-02-09,2019-02-20,0.2271869100062933,0.1934037258942356,0.0337831841120577,False,True,True,True
13986,2019,2020,0.9244,271462,298348,SUZB3,2021-02-10,2021-02-10,2022-02-15,-0.1602639296187683,-0.0304567057819656,-0.1298072238368026,False,True,True,True
13986,2020,2021,0.9513,298348,290070,SUZB3,2022-02-09,2022-02-09,2023-02-10,-0.2343234323432343,-0.0389744426953997,-0.1953489896478346,False,True,True,True
13986,2021,2022,0.9632,290070,278350,SUZB3,2023-02-28,2023-02-28,2024-03-05,0.2268537913699204,0.2207734099620584,0.006080381407862,False,True,True,True
13986,2022,2023,0.9591,278350,273650,SUZB3,2024-02-28,2024-02-28,2025-02-27,-0.0036598117811084,-0.0411544105382309,0.0374945987571225,False,True,True,True
13986,2023,2024,0.9751,273650,274607,SUZB3,2025-02-12,2025-02-12,2026-02-18,-0.0132827324478177,0.4955458750230441,-0.5088286074708619,False,True,True,True
14311,2018,2019,0.9865,325757,308157,CPLE3,2020-03-25,2020-03-25,2021-04-01,0.2071934187870669,0.5376216870874304,-0.3304282683003634,False,True,True,True
14311,2019,2020,0.981,308157,350652,CPLE3,2021-05-05,2021-05-05,2022-05-10,0.0814814814814814,-0.1376203493279439,0.2191018308094254,False,True,True,True
14311,2020,2021,0.9775,350652,334303,CPLE3,2022-03-22,2022-03-22,2023-03-23,-0.154178674351585,-0.164967148291619,0.010788473940034,False,True,True,True
14311,2023,2024,0.9803,326092,277416,CPLE3,2025-02-27,2025-02-27,2026-03-05,0.5962800875273522,0.4460364092777695,0.1502436782495826,False,True,True,True
14320,2015,2016,0.9822,200762,219603,USIM5,2017-02-17,2017-02-17,2018-03-01,1.165137614678899,0.2602181718776615,0.9049194428012376,True,True,True,True
14320,2016,2017,0.9797,219603,214206,USIM5,2018-02-09,2018-02-09,2019-02-20,-0.1736420302760464,0.1934037258942356,-0.367045756170282,False,True,True,True
14320,2017,2018,0.9804,214206,203967,USIM5,2019-02-15,2019-02-15,2020-02-20,0.0063829787234042,0.1749308465822057,-0.1685478678588015,False,True,True,True
14320,2018,2019,0.9887,203967,204148,USIM5,2020-02-14,2020-02-14,2021-02-24,0.7414141414141413,0.0112525976847492,0.730161543729392,True,True,True,True
14320,2019,2020,0.9777,204148,200997,USIM5,2021-02-12,2021-02-12,2022-02-17,0.0472163495419308,-0.0494038619856262,0.0966202115275571,False,True,True,True
14320,2020,2021,0.936,200997,202683,USIM5,2022-02-11,2022-02-11,2023-02-14,-0.5415325177076626,-0.0503955408160525,-0.49113697689161,False,True,True,True
14320,2021,2022,0.9691,202683,220649,USIM5,2023-02-10,2023-02-10,2024-02-20,0.4073569482288828,0.2020557879026006,0.2053011603262822,False,True,True,True
14320,2022,2023,0.9752,220649,217795,USIM5,2025-01-16,2025-01-16,2026-01-20,0.274793388429752,0.371535278758937,-0.096741890329185,False,True,True,True
14320,2023,2024,0.9891,217795,215483,USIM5,2025-02-14,2025-02-14,2026-02-20,0.040133779264214,0.4860124417215945,-0.4458786624573805,False,True,True,True
14443,2018,2019,0.9855,282037,242449,SBSP3,2020-03-27,2020-03-27,2021-04-06,0.0421761915908811,0.6001746181810457,-0.5579984265901645,True,True,True,True
14443,2021,2022,0.9884,223209,218593,SBSP3,2023-03-23,2023-03-23,2024-03-28,0.7568969095417135,0.3081883791429354,0.4487085303987781,False,True,True,True
14443,2022,2023,0.9849,218593,244365,SBSP3,2024-03-21,2024-03-21,2025-03-25,0.2966725933180731,0.03050221300066,0.2661703803174131,False,True,True,True
14443,2023,2024,0.955,244365,261497,SBSP3,2025-03-27,2025-03-27,2026-03-31,0.5690189474778666,0.4079128793924089,0.1611060680854577,False,True,True,True
14460,2015,2016,0.8731,206885,213748,CYRE3,2017-03-23,2017-03-23,2018-04-03,0.1507692307692307,0.3320070472915575,-0.1812378165223267,False,True,True,True
14460,2016,2017,0.9823,213748,181084,CYRE3,2018-03-22,2018-03-22,2019-04-02,0.060105680317041,0.125270090510698,-0.065164410193657,False,True,True,True
14460,2017,2018,0.9503,181084,189467,CYRE3,2019-03-27,2019-03-27,2020-03-31,-0.0877985797288571,-0.2054727028597418,0.1176741231308846,False,True,True,True
14460,2018,2019,0.9483,189467,193192,CYRE3,2020-03-19,2020-03-19,2021-03-26,0.6108843537414967,0.6797540822867243,-0.0688697285452275,False,True,True,True
14460,2019,2020,0.9463,193192,229511,CYRE3,2021-03-18,2021-03-18,2022-03-23,-0.2991769547325104,0.0228318908197584,-0.3220088455522688,False,True,True,True
14460,2020,2021,0.9902,229511,233137,CYRE3,2022-03-17,2022-03-17,2023-03-20,-0.0306122448979591,-0.1074799650819937,0.0768677201840346,False,True,True,True
14460,2021,2022,0.9847,233137,247734,CYRE3,2023-03-16,2023-03-16,2024-03-21,0.5455116133082234,0.2390292576975647,0.3064823556106586,False,True,True,True
14460,2022,2023,0.9907,247734,262016,CYRE3,2024-03-14,2024-03-14,2025-03-18,-0.07686243594797,0.0296402293774522,-0.1065026653254223,False,True,True,True
14460,2023,2024,0.9056,262016,236999,CYRE3,2025-03-20,2025-03-20,2026-03-24,0.3639505186121088,0.3831175651680993,-0.0191670465559905,False,True,True,True
14826,2015,2016,0.8945,303950,263729,PCAR3,2017-03-07,2017-03-29,2020-12-29,-0.1132941176789174,0.8222534114654907,-0.935547529144408,True,True,True,True
14826,2016,2017,0.9509,263729,254081,PCAR3,2018-02-19,2018-10-23,2021-01-12,-0.1018703681272804,0.4536688908550208,-0.5555392589823013,True,True,True,True
14826,2017,2018,0.934,254081,252055,PCAR3,2019-03-26,2019-07-10,2021-01-18,-0.1571428571679333,0.1457659489817808,-0.3029088061497141,False,True,True,True
14826,2021,2022,0.9353,232095,223447,PCAR3,2023-02-27,2023-02-27,2024-03-04,-0.313041400659123,0.2140692954993823,-0.5271106961585054,True,True,True,True
15253,2015,2016,0.978,313688,361711,ENGI11,2017-03-23,2017-03-23,2018-04-03,0.5454545456369146,0.3320070472915575,0.2134474983453571,False,True,True,True
15253,2016,2017,0.969,361711,397685,ENGI11,2018-03-14,2018-03-14,2019-03-25,0.1800366587615969,0.0884481707118665,0.0915884880497304,False,True,True,True
15253,2017,2018,0.9608,397685,417774,ENGI11,2019-03-21,2019-03-21,2020-03-25,-0.1263285025481807,-0.2250978712916529,0.0987693687434722,False,True,True,True
15253,2018,2019,0.958,417774,438958,ENGI11,2020-03-18,2020-03-18,2021-03-25,0.0986267165768133,0.7004258168964921,-0.6017991003196788,True,True,True,True
15253,2019,2020,0.9786,438958,468736,ENGI11,2021-04-09,2021-04-09,2022-04-13,0.1115510012704656,-0.0075460249392579,0.1190970262097236,False,True,True,True
15253,2020,2021,0.9838,468736,529082,ENGI11,2024-01-20,2024-01-22,2025-01-23,-0.2497478312688922,-0.032529064612558,-0.2172187666563342,False,True,True,True
15253,2021,2022,0.9736,529082,514305,ENGI11,2023-03-16,2023-03-16,2024-03-21,0.2118559279374867,0.2390292576975647,-0.027173329760078,False,True,True,True
15253,2022,2023,0.809,514305,478573,ENGI11,2024-03-15,2024-03-15,2025-03-19,-0.1097152430230438,0.0454991135127391,-0.1552143565357829,False,True,True,True
15253,2023,2024,0.9692,478573,449191,ENGI11,2025-03-18,2025-03-18,2026-03-20,0.2933076553965632,0.3403290503049521,-0.0470213949083888,False,True,True,True
16101,2015,2016,0.9889,179342,191039,GFSA3,2017-05-09,2017-05-09,2018-05-16,-0.0378819180401386,0.3056730871800412,-0.3435550052201799,False,True,True,True
16101,2016,2017,0.9865,191039,186811,GFSA3,2018-03-09,2018-03-09,2019-03-20,-0.1798319326997439,0.1351136909771415,-0.3149456236768855,False,True,True,True
16101,2017,2018,0.9797,186811,195820,GFSA3,2019-04-03,2019-04-03,2020-04-07,-0.5723025226794352,-0.1919050267812505,-0.3803974958981846,False,True,True,True
16101,2018,2019,0.9688,195820,175093,GFSA3,2020-03-26,2020-03-26,2021-04-05,0.3490916150288385,0.5122758225939992,-0.1631842075651606,False,True,True,True
