cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_bad,curr_bad,either_bad
15253,2019,2020,0.9786,438958,468736,stayed,False,False,False
15253,2020,2021,0.9838,468736,529082,stayed,False,False,False
15253,2021,2022,0.9736,529082,514305,stayed,False,False,False
15253,2022,2023,0.809,514305,478573,stayed,False,False,False
15253,2023,2024,0.9692,478573,449191,stayed,False,False,False
16101,2015,2016,0.9889,179342,191039,dropped_or_delisted,False,False,False
16101,2016,2017,0.9865,191039,186811,dropped_or_delisted,False,False,False
16101,2017,2018,0.9797,186811,195820,dropped_or_delisted,False,False,False
16101,2018,2019,0.9688,195820,175093,dropped_or_delisted,False,False,False
16101,2019,2020,0.9545,175093,172530,dropped_or_delisted,False,False,False
16101,2020,2021,0.9731,172530,181063,dropped_or_delisted,False,False,False
16101,2021,2022,0.9579,181063,180001,dropped_or_delisted,False,False,False
16101,2022,2023,0.9269,180001,180774,dropped_or_delisted,False,False,False
16101,2023,2024,0.9211,180774,141451,dropped_or_delisted,False,False,False
16292,2018,2019,0.9261,289781,247396,dropped_or_delisted,False,False,False
16292,2019,2020,0.9298,247396,241315,dropped_or_delisted,False,False,False
16292,2020,2021,0.9571,241315,251167,dropped_or_delisted,False,False,False
16292,2021,2022,0.9819,251167,237963,dropped_or_delisted,False,False,False
16292,2022,2023,0.8657,237963,209387,dropped_or_delisted,False,False,False
16292,2023,2024,0.9498,209387,218105,dropped_or_delisted,False,False,False
16306,2015,2016,0.9904,264786,292443,dropped_or_delisted,False,False,False
16306,2016,2017,0.9987,292443,292066,dropped_or_delisted,False,False,False
16306,2017,2018,0.9972,292066,306559,dropped_or_delisted,False,False,False
16306,2020,2021,0.9609,206373,188488,dropped_or_delisted,False,False,False
16306,2021,2022,0.9805,188488,154882,dropped_or_delisted,False,False,False
16306,2022,2023,0.9864,154882,159421,dropped_or_delisted,False,False,False
16306,2023,2024,0.984,159421,200560,dropped_or_delisted,False,False,False
17329,2015,2016,0.4058,108677,187641,stayed,False,False,False
17329,2016,2017,0.9093,187641,214485,stayed,False,False,False
17329,2017,2018,0.9355,214485,226464,stayed,False,False,False
17329,2018,2019,0.9447,226464,274580,stayed,False,False,False
17329,2019,2020,0.9322,274580,311859,stayed,False,False,False
17329,2020,2021,0.9692,311859,317252,stayed,False,False,False
17329,2021,2022,0.9521,317252,292847,stayed,False,False,False
17329,2022,2023,0.9768,292847,296163,stayed,False,False,False
17329,2023,2024,0.9455,296163,304430,stayed,False,False,False
17450,2015,2016,0.3248,60747,168388,stayed,False,False,False
17450,2016,2017,0.3367,168388,77564,stayed,False,False,False
17450,2017,2018,0.497,77564,162549,stayed,False,False,False
17450,2018,2019,0.435,162549,49476,stayed,False,False,False
17450,2019,2020,0.4361,49476,173524,stayed,False,False,False
17450,2020,2021,0.9364,173524,161513,stayed,False,False,False
17450,2021,2022,0.9525,161513,176536,stayed,False,False,False
17450,2022,2023,0.9863,176536,182700,stayed,False,False,False
17450,2023,2024,0.9747,182700,192670,stayed,False,False,False
17671,2015,2016,0.9404,286341,271106,stayed,False,False,False
17671,2016,2017,0.9096,271106,243541,stayed,False,False,False
17671,2017,2018,0.9044,243541,221548,stayed,False,False,False
17671,2018,2019,0.9299,221548,204525,stayed,False,False,False
17671,2019,2020,0.8619,204525,308808,stayed,False,False,False
17671,2020,2021,0.847,308808,322303,stayed,False,False,False
17671,2021,2022,0.8872,322303,353605,stayed,False,False,False
17671,2022,2023,0.9017,353605,362155,stayed,False,False,False
17671,2023,2024,0.8985,362155,341933,stayed,False,False,False
17892,2015,2016,0.9384,169631,164826,dropped_or_delisted,False,False,False
17892,2016,2017,0.9064,164826,193960,dropped_or_delisted,False,False,False
17892,2017,2018,0.823,193960,197219,dropped_or_delisted,False,False,False
17892,2018,2019,0.9847,197219,209175,dropped_or_delisted,False,False,False
17892,2019,2020,0.9797,209175,222689,dropped_or_delisted,False,False,False
17892,2020,2021,0.9741,222689,231887,dropped_or_delisted,False,False,False
17892,2021,2022,0.8717,231887,222476,dropped_or_delisted,False,False,False
17892,2022,2023,0.9467,222476,196734,dropped_or_delisted,False,False,False
17892,2023,2024,0.9412,196734,206047,dropped_or_delisted,False,False,False
17914,2015,2016,0.9464,145676,119815,dropped_or_delisted,False,False,False
