cd_cvm,year_curr,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
18112,2011,0.33320000000000005,0.6668,0.020459518711090974,0.020459518711090974
18350,2012,0.4707,0.5293,-0.07432180385333687,-0.07432180385333687
18350,2013,0.08940000000000003,0.9106,0.08989901102892994,0.08989901102892994
18376,2014,0.07430000000000003,0.9257,-0.31648590463084525,-0.31648590463084525
18376,2015,0.07050000000000001,0.9295,-0.33749125103927025,-0.33749125103927025
18376,2016,0.0252,0.9748,-0.23411904058023247,-0.23411904058023247
18376,2017,0.12549999999999994,0.8745,0.21818660964359737,0.21818660964359737
18376,2018,0.30279999999999996,0.6972,-0.033694758388501556,-0.033694758388501556
18376,2021,0.9247,0.0753,-0.11139917346303263,-0.11139917346303263
18376,2022,0.9509,0.0491,0.006550328832904739,0.006550328832904739
18465,2014,0.05730000000000002,0.9427,0.19280327484795112,0.19280327484795112
18465,2015,0.05349999999999999,0.9465,-0.339029402092218,-0.339029402092218
18465,2016,0.05249999999999999,0.9475,0.01293729732555704,0.01293729732555704
18465,2017,0.07779999999999998,0.9222,-0.2959184704872546,-0.2959184704872546
18465,2018,0.07930000000000004,0.9207,0.1596208056673074,0.1596208056673074
18465,2022,0.28759999999999997,0.7124,0.7013498924544428,0.7013498924544428
18465,2023,0.5076,0.4924,-0.6944995486761787,-0.6944995486761787
18465,2024,0.7363999999999999,0.2636,0.5894006147527133,0.5894006147527133
18627,2018,0.639,0.361,0.01778215669740102,0.01778215669740102
18627,2019,0.1078,0.8922,-0.4261162456619817,-0.4261162456619817
18627,2020,0.07879999999999998,0.9212,0.13075474993113145,0.13075474993113145
18627,2021,0.007299999999999973,0.9927,-0.0025485531254886284,-0.0025485531254886284
18627,2022,0.012900000000000023,0.9871,0.2168093427932416,0.2168093427932416
18627,2023,0.007800000000000029,0.9922,-0.2697426339492688,-0.2697426339492688
18627,2024,0.16080000000000005,0.8392,0.2702764080212434,0.2702764080212434
18660,2014,0.17069999999999996,0.8293,0.11240400647707771,0.11240400647707771
18660,2015,0.08930000000000005,0.9107,-0.06786188505198953,-0.06786188505198953
18660,2016,0.09040000000000004,0.9096,-0.26535018058654514,-0.26535018058654514
18660,2017,0.5021,0.4979,0.3612742493975296,0.3612742493975296
18660,2018,0.4184,0.5816,-0.3044840347859282,-0.3044840347859282
18660,2019,0.10529999999999995,0.8947,-0.32348231832568874,-0.32348231832568874
18660,2020,0.08089999999999997,0.9191,0.24167347396174876,0.24167347396174876
18660,2021,0.4132,0.5868,-0.08064024088130595,-0.08064024088130595
18660,2022,0.36750000000000005,0.6325,-0.2441399980194906,-0.2441399980194906
18660,2023,0.027599999999999958,0.9724,0.28777359700330973,0.28777359700330973
18660,2024,0.5389999999999999,0.461,0.06537936434403413,0.06537936434403413
18724,2014,0.12719999999999998,0.8728,-0.14576805875627796,-0.14576805875627796
18724,2015,0.3647,0.6353,4.06632428694149,2.9675490046794457
18724,2016,0.7622,0.2378,-0.6362131145213247,-0.6362131145213247
18724,2017,0.08899999999999997,0.911,-0.3380266047160341,-0.3380266047160341
18724,2018,0.18630000000000002,0.8137,0.06674555159485562,0.06674555159485562
18724,2019,0.6189,0.3811,0.11063808121880392,0.11063808121880392
18724,2020,0.13039999999999996,0.8696,-0.24454516601173515,-0.24454516601173515
18821,2014,0.02429999999999999,0.9757,0.0026312993710340127,0.0026312993710340127
18821,2015,0.061899999999999955,0.9381,-0.09830360339810795,-0.09830360339810795
18821,2016,0.07189999999999996,0.9281,-0.4726464322354452,-0.4726464322354452
18821,2017,0.07920000000000005,0.9208,1.2961602665663956,1.2961602665663956
18821,2018,0.05500000000000005,0.945,0.6740372135565633,0.6740372135565633
18821,2019,0.7041999999999999,0.2958,-0.2828330585618427,-0.2828330585618427
18821,2020,0.41200000000000003,0.588,0.7568806842697979,0.7568806842697979
18821,2021,0.17869999999999997,0.8213,-0.10920858987652327,-0.10920858987652327
18821,2022,0.31479999999999997,0.6852,0.03783967158866597,0.03783967158866597
18821,2023,0.05940000000000001,0.9406,-0.15157231303305163,-0.15157231303305163
18961,2011,0.13990000000000002,0.8601,1.6836139922541542,1.6836139922541542
18961,2012,0.09430000000000005,0.9057,-0.3305829959560853,-0.3305829959560853
18970,2011,0.07389999999999997,0.9261,-0.25945645354645086,-0.25945645354645086
18970,2012,0.1562,0.8438,-0.047961006515199855,-0.047961006515199855
18970,2013,0.02639999999999998,0.9736,0.10122637881661811,0.10122637881661811
18970,2014,0.011299999999999977,0.9887,0.012835888419850283,0.012835888419850283
18970,2015,0.7724,0.2276,-0.36869837594912325,-0.36869837594912325
18970,2016,0.08589999999999998,0.9141,-0.32248022806958077,-0.32248022806958077
19445,2014,0.05840000000000001,0.9416,0.6789251331417356,0.6789251331417356
19445,2015,0.44079999999999997,0.5592,1.1705849304605098,1.1705849304605098
19445,2016,0.16559999999999997,0.8344,-0.7061679932984548,-0.7061679932984548
19445,2017,0.26759999999999995,0.7324,0.5971576812815418,0.5971576812815418
19445,2018,0.21809999999999996,0.7819,-0.159328352709057,-0.159328352709057
19445,2019,0.8892,0.1108,-0.11754153313542115,-0.11754153313542115
19445,2020,0.05889999999999995,0.9411,0.34579699895601346,0.34579699895601346
19445,2021,0.8426,0.1574,0.3557406655417392,0.3557406655417392
19445,2022,0.1904,0.8096,-0.2513119533377811,-0.2513119533377811
19445,2023,0.81,0.19,-0.04981393570104775,-0.04981393570104775
19445,2024,0.8321000000000001,0.1679,0.6252605512037108,0.6252605512037108
19453,2014,0.1724,0.8276,-0.13451759641770022,-0.13451759641770022
19453,2015,0.09289999999999998,0.9071,0.6687659412847458,0.6687659412847458
19453,2016,0.08299999999999996,0.917,-0.5022272935524024,-0.5022272935524024
19453,2017,0.502,0.498,0.439313614042935,0.439313614042935
19453,2018,0.11140000000000005,0.8886,0.4383840591185211,0.4383840591185211
19453,2019,0.017299999999999982,0.9827,-0.31484725437230177,-0.31484725437230177
19453,2020,0.6031,0.3969,-0.03489667031802368,-0.03489667031802368
19453,2021,0.09489999999999998,0.9051,0.3330858120546911,0.3330858120546911
19453,2022,0.6313,0.3687,0.6289958140617793,0.6289958140617793
19453,2023,0.21789999999999998,0.7821,-0.6484885447362683,-0.6484885447362683
19453,2024,0.6342,0.3658,0.13221301548775233,0.13221301548775233
19550,2014,0.24480000000000002,0.7552,0.4360737801895216,0.4360737801895216
19550,2015,0.011099999999999999,0.9889,-0.4566954125842758,-0.4566954125842758
19550,2018,0.9317,0.0683,-0.0019037348095837237,-0.0019037348095837237
19550,2019,0.9022,0.0978,-0.3742568019533614,-0.3742568019533614
19550,2020,0.0,1.0,-0.5737452483311485,-0.5737452483311485
19550,2021,0.0,1.0,0.4681526813298167,0.4681526813298167
19550,2022,0.0,1.0,0.20221154997617452,0.20221154997617452
19550,2024,0.0,1.0,-0.44197355751108924,-0.44197355751108924
19615,2012,0.05510000000000004,0.9449,-0.5795317964864344,-0.5795317964864344
19615,2013,0.18159999999999998,0.8184,0.037436329521184586,0.037436329521184586
19615,2014,0.017100000000000004,0.9829,0.6217989836112146,0.6217989836112146
19615,2017,0.048900000000000055,0.9511,-0.27749362764402097,-0.27749362764402097
19615,2018,0.0,1.0,0.10157310561096033,0.10157310561096033
19615,2019,0.9697,0.0303,-0.22069384553674543,-0.22069384553674543
19615,2020,0.1804,0.8196,0.4107225419714935,0.4107225419714935
19739,2017,0.06779999999999997,0.9322,-0.33178737481386,-0.33178737481386
19739,2018,0.32720000000000005,0.6728,-0.1357064682217487,-0.1357064682217487
19739,2019,0.2561,0.7439,-0.1631477473661177,-0.1631477473661177
19739,2020,0.06869999999999998,0.9313,-0.18352381608081514,-0.18352381608081514
19739,2021,0.01739999999999997,0.9826,0.044764073687461714,0.044764073687461714
19739,2022,0.253,0.747,-0.3538672594762555,-0.3538672594762555
19739,2023,0.05500000000000005,0.945,-0.22790662823138053,-0.22790662823138053
