cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct
4820,BRASKEM,stayed,2020,2021,0.2609,1044,11088,regex_only,regex_only,2022-03-16,4820.0,BRKM5,2021-12-31,5.97,2022-03-31,2.38,-3.59,-0.6013400335008375
4820,BRASKEM,stayed,2021,2022,0.9576,11088,11707,regex_only,regex_only,2023-03-23,4820.0,BRKM5,2022-12-31,-1.13,2023-03-31,-0.73,0.3999999999999999,0.3539823008849557
4820,BRASKEM,stayed,2022,2024,0.3307,11707,1199,regex_only,font_heading,2025-02-27,4820.0,BRKM5,2024-12-31,-1.146666667,2025-03-31,-0.01,1.136666667,0.991279069769977
5258,RAIA DROGASIL,stayed,2015,2016,0.9765,2768,2725,regex_only,regex_only,2017-02-16,5258.0,RADL3,2016-12-31,0.06433333,2017-03-31,0.061999997,-0.002333332999999993,-0.03626942674971113
5258,RAIA DROGASIL,stayed,2016,2017,0.3139,2725,520,regex_only,regex_only,2018-02-22,5258.0,RADL3,2017-12-31,0.077999996,2018-03-31,0.074499996,-0.003500000000000003,-0.04487179717291272
5258,RAIA DROGASIL,stayed,2017,2018,0.9792,520,553,regex_only,regex_only,2019-02-26,5258.0,RADL3,2018-12-31,0.076499996,2019-03-31,0.066999996,-0.009499999999999995,-0.12418301302917709
5258,RAIA DROGASIL,stayed,2018,2019,0.1676,553,8158,regex_only,font_heading,2020-02-19,5258.0,RADL3,2019-12-31,0.086999995,2020-03-31,0.079666662,-0.0073333329999999974,-0.08429118875236714
5258,RAIA DROGASIL,stayed,2019,2020,0.6315,8158,25292,font_heading,font_heading,2021-03-09,5258.0,RADL3,2020-12-31,0.11666666,2021-03-31,0.104999994,-0.011666666000000006,-0.10000000000000005
5258,RAIA DROGASIL,stayed,2020,2021,0.6433,25292,10190,font_heading,font_heading,2022-02-22,5258.0,RADL3,2021-12-31,0.109999994,2022-06-30,0.159999991,0.049999997000000004,0.4545454520661156
5258,RAIA DROGASIL,stayed,2021,2022,0.9068,10190,12138,font_heading,font_heading,2023-03-07,5258.0,RADL3,2022-12-31,0.129999993,2023-03-31,0.119999993,-0.010000000000000009,-0.07692308106508905
5258,RAIA DROGASIL,stayed,2022,2023,0.772,12138,5541,font_heading,font_heading,2024-03-05,5258.0,RADL3,2023-12-31,0.179999997,2024-03-31,0.174999997,-0.0050000000000000044,-0.027777778240740774
5258,RAIA DROGASIL,stayed,2023,2024,0.7652,5541,14023,font_heading,font_heading,2025-03-20,5258.0,RADL3,2024-12-31,0.164999997,2025-03-31,0.144999997,-0.020000000000000018,-0.1212121234159781
5410,WEG,stayed,2015,2016,0.9897,2516,2501,font_heading,font_heading,2017-02-22,5410.0,WEGE3,2016-12-31,0.068999997,2017-03-31,0.074499997,0.005500000000000005,0.07971014839319493
5410,WEG,stayed,2016,2017,0.9844,2501,2524,font_heading,font_heading,2018-02-28,5410.0,WEGE3,2017-12-31,0.072499997,2018-03-31,0.078499997,0.006000000000000005,0.08275862411415004
5410,WEG,stayed,2017,2018,0.9838,2524,2615,font_heading,font_heading,2019-04-10,5410.0,WEGE3,2018-12-31,0.1025,2019-06-30,0.088,-0.014499999999999999,-0.14146341463414633
5410,WEG,stayed,2018,2019,0.9795,2615,2633,font_heading,font_heading,2020-02-19,5410.0,WEGE3,2019-12-31,0.0965,2020-03-31,0.1,0.003500000000000003,0.0362694300518135
5410,WEG,stayed,2019,2020,0.969,2633,2695,font_heading,font_heading,2021-02-24,5410.0,WEGE3,2020-12-31,0.13,2021-06-30,0.22,0.09,0.6923076923076923
5410,WEG,stayed,2020,2021,0.8906,2695,2214,font_heading,font_heading,2022-02-16,5410.0,WEGE3,2021-12-31,0.195,2022-03-31,0.19,-0.0050000000000000044,-0.025641025641025664
5410,WEG,stayed,2021,2022,0.8947,2214,2482,font_heading,font_heading,2023-02-15,5410.0,WEGE3,2022-12-31,0.28,2023-03-31,0.31,0.02999999999999997,0.10714285714285703
5410,WEG,stayed,2022,2023,0.9751,2482,2322,font_heading,font_heading,2024-02-21,5410.0,WEGE3,2023-12-31,0.32,2024-03-31,0.315,-0.0050000000000000044,-0.015625000000000014
5410,WEG,stayed,2023,2024,0.9083,2322,2484,font_heading,font_heading,2025-02-26,5410.0,WEGE3,2024-12-31,0.375,2025-03-31,0.45,0.07500000000000001,0.20000000000000004
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2015,2016,0.8085,3122,3231,font_heading,font_heading,2017-02-23,6505.0,BHIA3,2016-12-31,3.750000124,2017-03-31,4.750000157,1.0000000329999996,0.2666666666488888
