cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok
20494,2021,2022,0.9086,181579,158171,dropped_or_delisted,True,True,True
20494,2022,2023,0.9786,158171,165412,dropped_or_delisted,True,True,True
20494,2023,2024,0.9691,165412,161489,dropped_or_delisted,True,True,True
20516,2015,2016,0.9679,56482,54281,dropped_or_delisted,True,True,True
20516,2016,2017,0.7684,54281,57811,dropped_or_delisted,True,True,True
20516,2019,2020,0.4836,158268,70500,dropped_or_delisted,True,True,True
20516,2020,2021,0.4578,70500,106939,dropped_or_delisted,True,True,True
20516,2021,2022,0.3423,106939,115479,dropped_or_delisted,True,True,True
20516,2022,2023,0.603,115479,114906,dropped_or_delisted,True,True,True
20516,2023,2024,0.3593,114906,92379,dropped_or_delisted,True,True,True
20524,2015,2016,0.7477,87446,231817,dropped_or_delisted,True,True,True
20524,2016,2017,0.9145,231817,119962,dropped_or_delisted,True,True,True
20524,2017,2018,0.5221,119962,75383,dropped_or_delisted,True,True,True
20524,2020,2021,0.9547,55452,51598,dropped_or_delisted,True,True,True
20524,2021,2022,0.964,51598,75018,dropped_or_delisted,True,True,True
20524,2022,2023,0.5171,75018,154492,dropped_or_delisted,True,True,True
20524,2023,2024,0.8706,154492,170053,dropped_or_delisted,True,True,True
20745,2019,2020,0.4126,97670,193645,stayed,True,True,True
20745,2020,2021,0.9389,193645,227183,stayed,True,True,True
20745,2021,2022,0.9209,227183,203893,stayed,True,True,True
20745,2022,2023,0.9635,203893,204503,stayed,True,True,True
20745,2023,2024,0.9795,204503,236835,stayed,True,True,True
20770,2015,2016,0.9745,76418,78661,dropped_or_delisted,True,True,True
20770,2016,2017,0.9854,78661,83838,dropped_or_delisted,True,True,True
20770,2017,2018,0.9087,83838,82093,dropped_or_delisted,True,True,True
20770,2021,2022,0.9529,79578,82585,dropped_or_delisted,True,True,True
20770,2022,2023,0.9464,82585,80812,dropped_or_delisted,True,True,True
20770,2023,2024,0.9517,80812,86871,dropped_or_delisted,True,True,True
20788,2015,2016,0.9816,285466,325031,stayed,True,True,True
20788,2016,2017,0.9669,325031,265489,stayed,True,True,True
20788,2019,2020,0.9757,218863,233895,stayed,True,True,True
20788,2020,2021,0.972,233895,242469,stayed,True,True,True
