CD_CVM,board_size,pct_female_board,pct_black_brown_board,exec_size,pct_female_exec,pct_black_brown_exec,year,has_black_brown_board,has_black_brown_exec,despesas_financeiras,cost_of_debt_proxy,return_volatility,ln_total_assets,leverage,roa,past_12m_return
24716,5,0.2,0.0,4,0.0,0.0,2023,0,0,1676447.0,0.10429861366491283,0.481084070835468,16.850887781593414,0.7724381471592872,0.028207213612147,-0.1235857270901015
24783,9,0.3333333333333333,0.0,5,0.0,0.0,2023,0,0,73119.0,0.0037255146727264853,,17.570809926347792,0.4591326435307822,0.0695840399616207,
24805,5,0.4,0.0,2,0.5,0.0,2023,0,0,27634.0,2.1129044023827437e-05,0.36992780392917257,21.89932980408452,0.4034649514002165,0.1139084667508952,0.7700258397932815
24821,7,0.14285714285714285,,7,0.14285714285714285,,2023,0,0,6905536.0,0.10383216971640907,0.4440620676574449,18.31911696710682,0.7361631126821621,0.0233965671650183,0.1536301644604893
24848,5,0.4,0.0,5,0.2,0.0,2023,0,0,683308.0,0.106684577849868,0.7815624402488964,16.0580967833169,0.6800988483758591,0.0002481509199316,3.0153846153846158
24910,8,0.25,0.0,8,0.25,0.0,2023,0,0,185305.0,0.1075952160033259,0.6171002670998044,15.342520319816884,0.3740436296854218,-0.0160140717941233,-0.1096296296296296
24929,10,0.3,0.0,6,0.5,0.0,2023,0,0,3059128.0,0.10460625786651281,0.22077040289107905,17.82756270047402,0.5292097981048045,0.0513466158148377,0.4600977198697069
25011,6,0.0,0.0,6,0.0,0.0,2023,0,0,68907.0,0.019221338706950947,,16.05349931481616,0.3824137886158325,-0.1725037330158181,
25100,6,0.0,0.0,6,0.0,0.0,2023,0,0,69447.0,0.03314824564460014,0.379249611527814,14.944336127212884,0.6775638473581859,0.1602869706984715,0.6860356138706654
25232,8,0.0,,8,0.25,,2023,0,0,17416.0,0.08862743501536834,0.5293158258050666,13.794281814247308,0.2007242120746275,-0.0261002354455334,-0.3429752066115702
25291,7,0.14285714285714285,0.0,3,0.0,0.0,2023,0,0,189453.0,0.013016559247114073,0.4960671784793272,16.817217845516833,0.7234031174573896,0.0211340954792026,-0.1873519456826039
25372,9,0.2222222222222222,0.2,5,0.4,0.2,2023,1,1,3012000.0,0.07813837652735621,0.4507397557780104,17.580818504027782,0.8927669824211965,0.0164439400606804,-0.2768572955638696
25585,7,0.2857142857142857,0.2857142857142857,5,0.0,0.0,2023,1,0,1753585.0,0.09233327162284063,0.36185729354083823,17.206341223763722,0.6396605256107109,0.1201975170260087,1.0390625
25780,7,0.14285714285714285,0.0,3,0.0,0.0,2023,0,0,116248.0,0.05029548293363781,0.4654160889901935,15.7367157514959,0.3384446809457762,0.1038100598841677,-0.2295140120610146
26620,7,0.2857142857142857,0.0,2,0.0,0.0,2023,0,0,96317.0,0.005793293284262034,0.1935473947502684,17.182618680679667,0.5734043117127121,-0.0109568495907697,-0.0731197771587742
2437,10,0.2,0.0,11,0.09090909090909091,0.18181818181818182,2024,0,1,7384239.0,0.04398743458346731,0.24420807164457994,19.484947692830243,0.5791243790822639,0.0358115892316773,-0.1787776708373436
2453,9,0.0,0.1111111111111111,7,0.2857142857142857,0.0,2024,1,0,2559.0,7.911882345640922e-05,0.2504551406365932,17.905291991599427,0.5415280494684165,0.1191974575716684,0.2537326388235901
2577,3,0.0,0.0,4,0.5,0.0,2024,0,0,519447.0,0.07925143010409162,,16.489210762026623,0.4522315832774404,0.0743712750109549,
3980,7,0.14285714285714285,0.0,9,0.1111111111111111,0.0,2024,0,0,939248.0,0.032794162518404314,0.29132384470379696,18.279284135738717,0.3299069776287238,0.0529757398917252,-0.0752761259005477
4030,5,0.0,0.2,8,0.0,0.0,2024,1,0,3005311.0,0.03397845850723397,0.3966349813200031,18.459003496367245,0.8512211162145593,-0.0148031039475104,-0.5218564490016191
