CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2013,2013-12-31,2014-03-28,35863,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2014,2014-12-31,2015-03-27,45410,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2015,2015-12-31,2016-03-29,54595,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2016,2016-12-31,2017-04-11,64219,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2017,2017-12-31,2018-04-16,73303,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2018,2018-12-31,2019-04-18,82258,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2019,2019-12-31,2020-03-27,91907,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2020,2020-12-31,2021-03-12,100924,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2021,2021-12-31,2022-03-11,112464,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2022,2022-12-31,2023-03-29,124803,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2023,2023-12-31,2024-03-28,135344,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2024,2024-12-31,2025-03-28,145947,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2025,2025-12-31,2026-03-20,155548,ibx_extension
2577,CESP - CIA ENERGETICA DE SAO PAULO,2010,2010-12-31,2011-04-05,6343,history_extension
2577,CESP - CIA ENERGETICA DE SAO PAULO,2011,2011-12-31,2012-03-22,15266,history_extension
2577,CESP - CIA ENERGETICA DE SAO PAULO,2012,2012-12-31,2013-03-22,25195,history_extension
2577,CESP - CIA ENERGETICA DE SAO PAULO,2013,2013-12-31,2014-03-21,35426,history_extension
2577,CESP - CIA ENERGETICA DE SAO PAULO,2014,2014-12-31,2015-03-27,45412,history_extension
14826,CIA BRASILEIRA DE DISTRIBUICAO,2010,2010-12-31,2011-05-13,7730,history_extension
14826,CIA BRASILEIRA DE DISTRIBUICAO,2011,2011-12-31,2012-02-16,14402,history_extension
14826,CIA BRASILEIRA DE DISTRIBUICAO,2012,2012-12-31,2013-02-20,24367,history_extension
14826,CIA BRASILEIRA DE DISTRIBUICAO,2013,2013-12-31,2014-03-18,35298,history_extension
14826,CIA BRASILEIRA DE DISTRIBUICAO,2014,2014-12-31,2015-02-12,44071,history_extension
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2010,2010-12-31,2011-04-20,6653,history_extension
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2011,2011-12-31,2012-03-28,15488,history_extension
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2012,2012-12-31,2013-04-16,26149,history_extension
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2013,2013-12-31,2014-04-04,36107,history_extension
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2014,2014-12-31,2015-03-27,45347,history_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2010,2010-12-31,2011-03-25,5566,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2011,2011-12-31,2012-02-17,14446,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2012,2012-12-31,2013-05-07,26791,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2013,2013-12-31,2014-02-25,34820,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2014,2014-12-31,2015-03-17,45029,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2015,2015-12-31,2016-02-18,53466,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2016,2016-12-31,2017-02-15,62548,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2017,2017-12-31,2018-02-22,71711,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2018,2018-12-31,2019-02-13,80643,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2019,2019-12-31,2020-02-14,90958,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2020,2020-12-31,2021-02-10,100093,ibx_extension
