cd_cvm,fiscal_year,debt_line_item,fonte
15300,2016,2673339.0,ind
15458,2016,103484.0,con
21903,2016,3698253.0,con
22020,2016,6335985.0,con
24201,2016,194699.0,con
11231,2016,305.0,con
16705,2016,0.0,ind
3980,2016,26460857.0,con
18953,2016,9761499.0,con
94,2016,236357.0,con
11975,2016,15370.0,con
23167,2016,895914.0,ind
23485,2016,8585176.0,con
14613,2016,39534.0,ind
18236,2016,0.0,ind
19577,2016,876469.0,ind
2437,2016,48212889.0,con
22365,2016,369643.0,con
23795,2016,0.0,con
20532,2016,48772943.0,ind
15091,2016,0.0,con
18414,2016,96443.0,con
23582,2016,315740.0,ind
8451,2016,2475767.0,con
20052,2016,0.0,ind
20877,2016,1967678.0,con
23132,2016,137609.0,ind
8397,2016,571524.0,con
22721,2016,1222038.0,ind
4359,2016,195700.0,ind
9083,2016,37236.0,ind
20362,2016,848580.0,con
4030,2016,34282515.0,con
12572,2016,16162.0,con
14362,2016,1927436.0,ind
22160,2016,0.0,ind
2453,2016,15166537.0,con
21512,2016,0.0,ind
8818,2016,0.0,ind
23922,2016,938378.0,ind
9067,2016,14930051.0,con
8893,2016,20631.0,con
15709,2016,1208681.0,ind
22683,2016,196658.0,ind
3158,2016,1211357.0,con
15865,2016,0.0,ind
23949,2016,0.0,ind
20451,2016,584086.0,con
19453,2016,5280211.0,con
19151,2016,348620.0,ind
18465,2016,8901608.0,con
19836,2016,9755703.0,con
24244,2016,0.0,ind
22691,2016,926440.0,ind
19313,2016,3602542.0,con
22799,2016,13855.0,con
14214,2016,0.0,ind
22446,2016,248382.0,ind
22004,2016,698935.0,ind
15741,2016,658094.0,ind
23140,2016,0.0,con
22470,2016,1823310.0,con
11207,2016,49277.0,con
16993,2016,97002.0,con
23558,2016,0.0,ind
19550,2016,5535880.0,con
9512,2016,493023000.0,con
2429,2016,922420.0,con
22780,2016,0.0,con
24120,2016,0.0,con
15407,2016,246.0,ind
4782,2016,6500880.0,ind
21946,2016,0.0,ind
22411,2016,688688.0,ind
20990,2016,4167400.0,con
16608,2016,2251551.0,ind
22500,2016,891145.0,con
12653,2016,18021730.0,con
14303,2016,3718.0,ind
20354,2016,978136.0,con
1210,2016,24695017.0,ind
21733,2016,13299493.0,con
1570,2016,237.0,ind
23850,2016,0.0,ind
20567,2016,1029937.0,ind
23833,2016,556031.0,ind
3271,2016,356461.0,ind
18759,2016,0.0,ind
21377,2016,167290.0,ind
20087,2016,13785768.0,con
20141,2016,384167.0,con
