CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016,2016-12-31,2017-04-11,64232,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017,2017-12-31,2018-03-29,72887,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018,2018-12-31,2019-04-01,81934,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2019,2019-12-31,2020-04-01,92147,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2020,2020-12-31,2021-03-30,102461,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2021,2021-12-31,2022-03-29,113213,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2022,2022-12-31,2023-03-25,124595,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023,2023-12-31,2024-03-21,134993,current_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2024,2024-12-31,2025-03-21,145624,current_ibov
14761,CIA HERING,2015,2015-12-31,2016-02-25,53643,historical_ibov
14761,CIA HERING,2016,2016-12-31,2017-02-23,62763,historical_ibov
14761,CIA HERING,2017,2017-12-31,2018-03-01,71909,historical_ibov
14761,CIA HERING,2018,2018-12-31,2019-02-28,80981,historical_ibov
14761,CIA HERING,2019,2019-12-31,2020-03-05,91385,historical_ibov
14761,CIA HERING,2020,2020-12-31,2021-03-03,100627,historical_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2015,2015-12-31,2016-03-17,54155,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2016,2016-12-31,2017-03-28,63723,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2017,2017-12-31,2018-05-14,74522,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2018,2018-12-31,2019-03-28,81731,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2019,2019-12-31,2020-03-25,91838,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2020,2020-12-31,2021-05-05,103444,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2021,2021-12-31,2022-03-22,112827,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2022,2022-12-31,2023-03-21,124426,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2023,2023-12-31,2024-02-29,134367,current_ibov
14311,CIA PARANAENSE DE ENERGIA - COPEL,2024,2024-12-31,2025-02-27,145117,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2015,2015-12-31,2016-03-25,54474,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2016,2016-12-31,2017-03-27,63644,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2017,2017-12-31,2018-03-27,72785,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2018,2018-12-31,2019-03-28,81733,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2019,2019-12-31,2020-03-27,91918,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2020,2020-12-31,2021-03-25,102262,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2021,2021-12-31,2022-03-24,112960,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2022,2022-12-31,2023-03-23,124536,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2023,2023-12-31,2024-03-21,134989,current_ibov
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2024,2024-12-31,2025-03-27,145844,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2015,2015-12-31,2016-03-11,54029,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2016,2016-12-31,2017-03-09,63037,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2017,2017-12-31,2018-02-23,71739,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2018,2018-12-31,2019-02-28,80985,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2019,2019-12-31,2020-03-19,91684,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2020,2020-12-31,2021-04-20,102985,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2021,2021-12-31,2022-06-13,116984,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2022,2022-12-31,2023-03-21,124409,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2023,2023-12-31,2024-03-21,134977,current_ibov
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2024,2024-12-31,2025-03-24,145717,current_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2015,2015-12-31,2016-03-22,54301,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2016,2016-12-31,2017-02-21,62684,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2017,2017-12-31,2018-02-06,71362,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2018,2018-12-31,2019-02-21,80809,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2019,2019-12-31,2020-02-06,90796,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2020,2020-12-31,2021-02-11,100129,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2021,2021-12-31,2022-02-24,112044,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2022,2022-12-31,2023-02-16,123587,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2023,2023-12-31,2024-02-08,133929,historical_ibov
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2024,2024-12-31,2025-02-20,144899,historical_ibov
4030,CIA SIDERURGICA NACIONAL,2015,2015-12-31,2016-11-14,60923,current_ibov
4030,CIA SIDERURGICA NACIONAL,2016,2016-12-31,2017-10-28,69331,current_ibov
4030,CIA SIDERURGICA NACIONAL,2017,2017-12-31,2018-04-06,73192,current_ibov
4030,CIA SIDERURGICA NACIONAL,2018,2018-12-31,2019-02-20,80783,current_ibov
4030,CIA SIDERURGICA NACIONAL,2019,2019-12-31,2020-03-04,91368,current_ibov
4030,CIA SIDERURGICA NACIONAL,2020,2020-12-31,2021-02-22,100354,current_ibov
4030,CIA SIDERURGICA NACIONAL,2021,2021-12-31,2022-03-09,112377,current_ibov
4030,CIA SIDERURGICA NACIONAL,2022,2022-12-31,2023-03-16,124211,current_ibov
4030,CIA SIDERURGICA NACIONAL,2023,2023-12-31,2024-03-06,134513,current_ibov
4030,CIA SIDERURGICA NACIONAL,2024,2024-12-31,2025-03-12,145354,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2015,2015-12-31,2016-03-15,54054,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2016,2016-12-31,2017-03-22,63411,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2017,2017-12-31,2018-03-16,72338,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2018,2018-12-31,2019-06-21,85096,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2019,2019-12-31,2020-03-30,92053,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2020,2020-12-31,2021-03-31,102489,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2021,2021-12-31,2022-03-24,112952,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2022,2022-12-31,2023-09-21,131083,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2023,2023-12-31,2024-03-20,134930,current_ibov
17973,COGNA EDUCAÇÃO S.A.,2024,2024-12-31,2025-03-12,145344,current_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2015,2015-12-31,2016-03-21,54254,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2016,2016-12-31,2017-05-25,65995,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2017,2017-12-31,2018-03-29,72888,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2018,2018-12-31,2019-04-22,82288,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2019,2019-12-31,2020-03-12,91544,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2020,2020-12-31,2021-02-23,100384,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2021,2021-12-31,2022-03-21,112783,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2022,2022-12-31,2023-03-15,124182,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2023,2023-12-31,2024-03-11,134627,historical_ibov
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2024,2024-12-31,2025-03-07,145230,historical_ibov
19836,COSAN S.A.,2015,2015-12-31,2016-02-18,53472,current_ibov
19836,COSAN S.A.,2016,2016-12-31,2017-02-16,62582,current_ibov
19836,COSAN S.A.,2017,2017-12-31,2018-03-26,72672,current_ibov
19836,COSAN S.A.,2018,2018-12-31,2019-02-14,80687,current_ibov
19836,COSAN S.A.,2019,2019-12-31,2020-02-14,90980,current_ibov
19836,COSAN S.A.,2020,2020-12-31,2021-02-11,100139,current_ibov
19836,COSAN S.A.,2021,2021-12-31,2022-02-24,112025,current_ibov
19836,COSAN S.A.,2022,2022-12-31,2023-02-28,123768,current_ibov
19836,COSAN S.A.,2023,2023-12-31,2024-05-29,138141,current_ibov
19836,COSAN S.A.,2024,2024-12-31,2025-03-10,145271,current_ibov
18660,CPFL ENERGIA S.A.,2015,2015-12-31,2016-03-21,54212,current_ibov
18660,CPFL ENERGIA S.A.,2016,2016-12-31,2017-03-23,63488,current_ibov
18660,CPFL ENERGIA S.A.,2017,2017-12-31,2018-03-27,72757,current_ibov
18660,CPFL ENERGIA S.A.,2018,2018-12-31,2019-03-28,81697,current_ibov
18660,CPFL ENERGIA S.A.,2019,2019-12-31,2020-03-09,91443,current_ibov
18660,CPFL ENERGIA S.A.,2020,2020-12-31,2021-03-31,102515,current_ibov
18660,CPFL ENERGIA S.A.,2021,2021-12-31,2022-03-17,112650,current_ibov
18660,CPFL ENERGIA S.A.,2022,2022-12-31,2023-03-16,124256,current_ibov
18660,CPFL ENERGIA S.A.,2023,2023-12-31,2024-03-21,134981,current_ibov
18660,CPFL ENERGIA S.A.,2024,2024-12-31,2025-02-26,145056,current_ibov
25585,CSN MINERAÇÃO S.A.,2019,2019-12-31,2021-01-27,97692,current_ibov
25585,CSN MINERAÇÃO S.A.,2020,2020-12-31,2021-02-22,100356,current_ibov
25585,CSN MINERAÇÃO S.A.,2021,2021-12-31,2022-03-09,112369,current_ibov
25585,CSN MINERAÇÃO S.A.,2022,2022-12-31,2023-03-08,123991,current_ibov
25585,CSN MINERAÇÃO S.A.,2023,2023-12-31,2024-03-06,134514,current_ibov
25585,CSN MINERAÇÃO S.A.,2024,2024-12-31,2025-04-01,146102,current_ibov
18376,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,2015,2015-12-31,2016-04-20,55192,current_ibov
18376,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,2016,2016-12-31,2017-02-23,62762,current_ibov
18376,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,2017,2017-12-31,2018-02-26,71790,current_ibov
18376,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,2018,2018-12-31,2019-02-28,80990,current_ibov
18376,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,2019,2019-12-31,2020-03-04,91364,current_ibov
25100,CURY CONSTRUTORA E INCORPORADORA S.A.,2019,2019-12-31,2020-08-27,91176,current_ibov
25100,CURY CONSTRUTORA E INCORPORADORA S.A.,2020,2020-12-31,2021-03-22,102127,current_ibov
