CD_CVM,ANO,ID_DOC,new_tier
011312,2020,103694,largest_attachment_fallback
011320,2010,6057,largest_attachment_fallback
011320,2011,15829,largest_attachment_fallback
011932,2010,4924,largest_attachment_fallback
011932,2011,14560,largest_attachment_fallback
011932,2012,24541,largest_attachment_fallback
011932,2013,36227,largest_attachment_fallback_content_filtered
011932,2014,44254,largest_attachment_fallback
011932,2015,53644,largest_attachment_fallback
011932,2016,63611,largest_attachment_fallback
011932,2017,71632,largest_attachment_fallback
011932,2018,81112,largest_attachment_fallback
011932,2019,91384,largest_attachment_fallback
011932,2020,100638,largest_attachment_fallback
012653,2010,4933,largest_attachment_fallback
012653,2011,14625,largest_attachment_fallback
012653,2012,24397,largest_attachment_fallback
012653,2013,34485,largest_attachment_fallback
012653,2014,43996,largest_attachment_fallback
012653,2015,53175,largest_attachment_fallback
012653,2016,62409,largest_attachment_fallback
012653,2017,71286,largest_attachment_fallback
012653,2018,80497,largest_attachment_fallback
012653,2019,90777,largest_attachment_fallback
012653,2020,100067,largest_attachment_fallback
012793,2010,5990,largest_attachment_fallback
012793,2011,14058,largest_attachment_fallback
012793,2012,24001,largest_attachment_fallback
012793,2013,34231,largest_attachment_fallback
012793,2014,43680,largest_attachment_fallback
012793,2015,53085,largest_attachment_fallback
012793,2016,62596,largest_attachment_fallback
012793,2017,71239,largest_attachment_fallback
012793,2018,80821,largest_attachment_fallback
013471,2010,5153,largest_attachment_fallback
013471,2011,14701,largest_attachment_fallback
013471,2012,24783,largest_attachment_fallback
013471,2013,35879,largest_attachment_fallback
013471,2014,43844,largest_attachment_fallback
013471,2015,54547,largest_attachment_fallback
013471,2016,63005,largest_attachment_fallback
013471,2017,71373,largest_attachment_fallback
013471,2018,81630,largest_attachment_fallback_content_filtered
013471,2019,91337,largest_attachment_fallback
013471,2020,100644,largest_attachment_fallback
013986,2010,5059,largest_attachment_fallback
013986,2011,15346,largest_attachment_fallback
013986,2012,24853,largest_attachment_fallback
013986,2013,35192,largest_attachment_fallback
013986,2014,44759,largest_attachment_fallback
013986,2015,53473,largest_attachment_fallback
013986,2016,62391,largest_attachment_fallback
013986,2017,71458,largest_attachment_fallback
013986,2018,80820,largest_attachment_fallback
013986,2019,90915,largest_attachment_fallback
013986,2020,100089,largest_attachment_fallback
013986,2024,144744,largest_attachment_fallback
014028,2010,5522,largest_attachment_fallback
014109,2010,5278,largest_attachment_fallback
014109,2011,14566,largest_attachment_fallback
014109,2012,24545,largest_attachment_fallback
014109,2013,36042,largest_attachment_fallback_content_filtered
014109,2014,44934,largest_attachment_fallback_content_filtered
014109,2015,54341,largest_attachment_fallback_content_filtered
014109,2016,63507,largest_attachment_fallback
014109,2017,72238,largest_attachment_fallback
014109,2019,91372,largest_attachment_fallback_content_filtered
014109,2020,100867,largest_attachment_fallback
014176,2010,5478,largest_attachment_fallback
014176,2011,14987,largest_attachment_fallback
014176,2012,24571,largest_attachment_fallback
014176,2013,34849,largest_attachment_fallback
014176,2014,44285,largest_attachment_fallback
014176,2015,53615,largest_attachment_fallback
014176,2016,62809,largest_attachment_fallback
014176,2017,72688,largest_attachment_fallback_content_filtered
014176,2018,80900,largest_attachment_fallback
014176,2019,91136,largest_attachment_fallback
014176,2020,100423,largest_attachment_fallback
014176,2021,112047,largest_attachment_fallback
014176,2022,123711,largest_attachment_fallback
014176,2023,134320,largest_attachment_fallback
014176,2024,145115,largest_attachment_fallback
014311,2010,5889,largest_attachment_fallback
014311,2011,15394,largest_attachment_fallback
014311,2012,25260,largest_attachment_fallback
014311,2013,41476,largest_attachment_fallback
014311,2014,45144,largest_attachment_fallback
014311,2015,54155,largest_attachment_fallback
014311,2016,63723,largest_attachment_fallback
014311,2017,74522,largest_attachment_fallback
014311,2018,81731,largest_attachment_fallback
014311,2019,91838,largest_attachment_fallback
014311,2020,103444,largest_attachment_fallback
014311,2023,134367,largest_attachment_fallback
014311,2024,145117,largest_attachment_fallback
014320,2010,5291,largest_attachment_fallback
014320,2011,14754,largest_attachment_fallback_content_filtered
014320,2012,24647,largest_attachment_fallback
014320,2013,34548,largest_attachment_fallback
014320,2014,44662,largest_attachment_fallback
014320,2015,53450,largest_attachment_fallback
014320,2016,62585,largest_attachment_fallback
014320,2017,71440,largest_attachment_fallback
014320,2018,80692,largest_attachment_fallback
014320,2019,90949,largest_attachment_fallback
014320,2020,100148,largest_attachment_fallback
014320,2023,144312,largest_attachment_fallback
014443,2010,5881,largest_attachment_fallback_content_filtered
014443,2011,15327,largest_attachment_fallback
014443,2012,25223,largest_attachment_fallback
014443,2013,35848,largest_attachment_fallback
014443,2014,45337,largest_attachment_fallback_content_filtered
014443,2015,54474,largest_attachment_fallback_content_filtered
014443,2016,63644,largest_attachment_fallback
014443,2017,72785,largest_attachment_fallback_content_filtered
014443,2018,81733,largest_attachment_fallback
014443,2019,91918,largest_attachment_fallback
014443,2020,102262,largest_attachment_fallback
014460,2010,5876,largest_attachment_fallback
014460,2011,15395,largest_attachment_fallback
014460,2012,25161,largest_attachment_fallback
014460,2013,35386,largest_attachment_fallback
014460,2014,45105,largest_attachment_fallback
014460,2015,54386,largest_attachment_fallback
014460,2016,63477,largest_attachment_fallback
014460,2017,72538,largest_attachment_fallback
014460,2018,81580,largest_attachment_fallback
014460,2019,91667,largest_attachment_fallback
014460,2020,102043,largest_attachment_fallback
014460,2021,112633,largest_attachment_fallback
014460,2022,124242,largest_attachment_fallback
014460,2023,134740,largest_attachment_fallback
014460,2024,145594,largest_attachment_fallback
014621,2010,4830,largest_attachment_fallback
014621,2011,14309,largest_attachment_fallback
014621,2012,24872,largest_attachment_fallback
014621,2013,35334,largest_attachment_fallback
014761,2010,5143,largest_attachment_fallback
014761,2011,14615,largest_attachment_fallback
014761,2012,24394,largest_attachment_fallback
014761,2013,34703,largest_attachment_fallback
014761,2014,44328,largest_attachment_fallback
014761,2015,53643,largest_attachment_fallback
014761,2016,62763,largest_attachment_fallback
014761,2017,71909,largest_attachment_fallback
014761,2018,80981,largest_attachment_fallback
014761,2019,91385,largest_attachment_fallback
014761,2020,100627,largest_attachment_fallback
014826,2010,7730,largest_attachment_fallback
014826,2011,14402,largest_attachment_fallback
014826,2012,24367,largest_attachment_fallback
014826,2013,35298,largest_attachment_fallback
014826,2014,44071,largest_attachment_fallback
014826,2015,58356,largest_attachment_fallback
014826,2016,62966,largest_attachment_fallback
014826,2017,71607,largest_attachment_fallback
014826,2018,81550,largest_attachment_fallback
014826,2019,97921,largest_attachment_fallback_content_filtered
014826,2020,100387,largest_attachment_fallback
014826,2021,111994,largest_attachment_fallback
014826,2022,123740,largest_attachment_fallback
014826,2024,144850,largest_attachment_fallback
015253,2010,5374,largest_attachment_fallback
015253,2011,14870,largest_attachment_fallback
015253,2012,24705,largest_attachment_fallback
015253,2014,45466,largest_attachment_fallback
015253,2015,54302,largest_attachment_fallback
015253,2016,63502,largest_attachment_fallback
015253,2017,72278,largest_attachment_fallback
015253,2018,81388,largest_attachment_fallback
015253,2019,91629,largest_attachment_fallback
015253,2020,102789,largest_attachment_fallback
015253,2021,133648,largest_attachment_fallback
015253,2022,124288,largest_attachment_fallback
015253,2023,134790,largest_attachment_fallback
015253,2024,145509,largest_attachment_fallback
015539,2010,4855,largest_attachment_fallback
015539,2011,14158,largest_attachment_fallback
015539,2012,25234,largest_attachment_fallback
015539,2013,35473,largest_attachment_fallback
015539,2014,70263,largest_attachment_fallback
015539,2015,70264,largest_attachment_fallback
015539,2016,82363,largest_attachment_fallback_content_filtered
015539,2017,82331,largest_attachment_fallback
015539,2018,82332,largest_attachment_fallback
015539,2019,91020,largest_attachment_fallback
015539,2020,100039,largest_attachment_fallback
015539,2023,133915,largest_attachment_fallback_content_filtered
015539,2024,144935,largest_attachment_fallback_content_filtered
015539,2025,154723,largest_attachment_fallback_content_filtered
015636,2010,5566,largest_attachment_fallback
015636,2011,14446,largest_attachment_fallback
015636,2012,26791,largest_attachment_fallback
015636,2013,34820,largest_attachment_fallback
015636,2014,45029,largest_attachment_fallback
015636,2015,53466,largest_attachment_fallback
015636,2016,62548,largest_attachment_fallback
015636,2017,71711,largest_attachment_fallback
015636,2018,80643,largest_attachment_fallback
015636,2019,90958,largest_attachment_fallback
015636,2020,100093,largest_attachment_fallback
015636,2021,111856,largest_attachment_fallback
015636,2022,123598,largest_attachment_fallback
016101,2010,5759,largest_attachment_fallback
016101,2011,16306,largest_attachment_fallback
016101,2012,24844,largest_attachment_fallback
016101,2013,34902,largest_attachment_fallback
016101,2014,44395,largest_attachment_fallback
016101,2015,53837,largest_attachment_fallback
016101,2016,64995,largest_attachment_fallback
016101,2017,72149,largest_attachment_fallback
016101,2018,82002,largest_attachment_fallback
016101,2019,91877,largest_attachment_fallback
016101,2020,101001,largest_attachment_fallback
016292,2010,6508,largest_attachment_fallback
016292,2011,15260,largest_attachment_fallback
016292,2012,24657,largest_attachment_fallback_content_filtered
016292,2013,34932,largest_attachment_fallback_content_filtered
016292,2014,44337,largest_attachment_fallback_content_filtered
016292,2015,53666,largest_attachment_fallback
016292,2016,62776,largest_attachment_fallback_content_filtered
016292,2017,71716,largest_attachment_fallback_content_filtered
016292,2018,80959,largest_attachment_fallback
016292,2019,91306,largest_attachment_fallback
016292,2020,100468,largest_attachment_fallback
016292,2021,111931,largest_attachment_fallback
016306,2010,21664,largest_attachment_fallback
016306,2011,21668,largest_attachment_fallback
016306,2012,25377,largest_attachment_fallback
016306,2013,35672,largest_attachment_fallback
016306,2014,45074,largest_attachment_fallback
016306,2015,54779,largest_attachment_fallback
016306,2016,63491,largest_attachment_fallback
016306,2017,72691,largest_attachment_fallback
016306,2018,81617,largest_attachment_fallback
016306,2019,91648,largest_attachment_fallback_content_filtered
016306,2020,101020,largest_attachment_fallback
016306,2022,131194,largest_attachment_fallback
017329,2010,6427,largest_attachment_fallback
017329,2011,14145,largest_attachment_fallback
017329,2012,24153,largest_attachment_fallback_content_filtered
017329,2013,34713,largest_attachment_fallback
017329,2014,45623,largest_attachment_fallback
017329,2015,53572,largest_attachment_fallback_content_filtered
017329,2016,62765,largest_attachment_fallback
017329,2017,71712,largest_attachment_fallback_all_flagged
017329,2018,80753,largest_attachment_fallback
017329,2019,91118,largest_attachment_fallback_all_flagged
017329,2020,102963,largest_attachment_fallback_content_filtered
017450,2010,6320,largest_attachment_fallback
017450,2011,14699,largest_attachment_fallback
017450,2012,24743,largest_attachment_fallback
017450,2013,34903,largest_attachment_fallback
017450,2014,53759,largest_attachment_fallback
017450,2015,54674,largest_attachment_fallback
017450,2016,62624,largest_attachment_fallback
