CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
023248,2016,63146,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 802203}]",ANIMA HOLDING S.A.,
023248,2017,72485,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00122504120000000000000000.pdf.pdf', 'size_bytes': 1236024}]",ANIMA HOLDING S.A.,
023248,2018,81393,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00122216530000000000000000.docx.pdf', 'size_bytes': 889578}]",ANIMA HOLDING S.A.,
023248,2019,91479,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121116530000000000000000.docx.pdf', 'size_bytes': 652007}]",ANIMA HOLDING S.A.,
023248,2020,101029,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 495176}]",ANIMA HOLDING S.A.,
023248,2021,113046,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\023248\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas - DFP 31.12.2021.pdf', 'size_bytes': 594089}]",ANIMA HOLDING S.A.,
023248,2022,124656,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\023248\\2022\\notas_explicativas.pdf', 'original_filename': 'Notas_Explicativas_Ânima_Holding_31_12_22.pdf', 'size_bytes': 609750}]",ANIMA HOLDING S.A.,
023248,2023,135077,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\023248\\2023\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas-  Demonstrações Financeiras - Ânima Holding 31.12.2023_V7.pdf', 'size_bytes': 3937061}]",ANIMA HOLDING S.A.,
023248,2024,145605,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2024\\notas_explicativas.pdf', 'original_filename': 'NE via final.pdf', 'size_bytes': 1844142}]",ANIMA HOLDING S.A.,
023248,2025,155312,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\023248\\2025\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas Anima 4T25 - V.Final 12.03.26.pdf', 'size_bytes': 1915171}]",ANIMA HOLDING S.A.,
019771,2010,9613,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019771\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00003416530000000000000000.pdf.pdf', 'size_bytes': 305071}]",ARTERIS S.A.,
019771,2011,15250,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019771\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00002504120000000000000000.pdf.pdf', 'size_bytes': 731529}]",ARTERIS S.A.,
