CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA
002577,2023,133921,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002577\\2023\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas CVM CESP 4T23 v2.pdf', 'size_bytes': 1646112}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2024,144973,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002577\\2024\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas CESP 4T2024.pdf', 'size_bytes': 2421753}]",CESP - CIA ENERGETICA DE SAO PAULO
014826,2015,58356,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00126304120000000000000000.pdf.pdf', 'size_bytes': 2984959}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2016,62966,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123804120000000000000000.pdf.pdf', 'size_bytes': 772377}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2017,71607,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122804120000000000000000.pdf.pdf', 'size_bytes': 718312}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2018,81550,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121804120000000000000000.pdf.pdf', 'size_bytes': 745282}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2019,97921,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121416530000000000000000.pdf.pdf', 'size_bytes': 8338899}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2020,100387,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121616530000000000000000.pdf.pdf', 'size_bytes': 15312100}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2021,111994,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2021\\notas_explicativas.pdf', 'original_filename': 'DFP_CBD_2021_IPE.pdf', 'size_bytes': 2541295}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2022,123740,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2022\\notas_explicativas.pdf', 'original_filename': 'DFP_CBD_2022_20230227_CVM.pdf', 'size_bytes': 2520846}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2023,134162,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\014826\\2023\\notas_explicativas.pdf', 'original_filename': 'Projeções Empresariais DFP-2023.pdf', 'size_bytes': 431910}]",CIA BRASILEIRA DE DISTRIBUICAO
014826,2024,144850,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014826\\2024\\notas_explicativas.pdf', 'original_filename': 'DFP_CBD_2024_CVM.pdf', 'size_bytes': 2300131}]",CIA BRASILEIRA DE DISTRIBUICAO
014761,2015,53643,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014761\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122204120000000000000000.pdf.pdf', 'size_bytes': 617881}]",CIA HERING
014761,2016,62763,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014761\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121216530000000000000000.pdf.pdf', 'size_bytes': 979263}]",CIA HERING
014761,2017,71909,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014761\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Users\\acarvalho\\Desktop\\EmpresasNet\\Temp\\files\\00122304120000000000000000.pdf.pdf', 'size_bytes': 686054}]",CIA HERING
014761,2018,80981,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014761\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00123104120000000000000000.pdf.pdf', 'size_bytes': 402394}]",CIA HERING
014761,2019,91385,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014761\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00123716530000000000000000.pdf.pdf', 'size_bytes': 814385}]",CIA HERING
014761,2020,100627,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\014761\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122004120000000000000000.pdf.pdf', 'size_bytes': 702117}]",CIA HERING
018627,2015,54301,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018627\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00123116530000000000000000.pdf.pdf', 'size_bytes': 3051952}]",CIA SANEAMENTO DO PARANA - SANEPAR
018627,2016,62684,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018627\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00124716530000000000000000.pdf.pdf', 'size_bytes': 2130053}]",CIA SANEAMENTO DO PARANA - SANEPAR
018627,2017,71362,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018627\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00126216530000000000000000.pdf.pdf', 'size_bytes': 833778}]",CIA SANEAMENTO DO PARANA - SANEPAR
